# TRAIT NEIGHBOURS — the lookup for FACETS.md step 1, and the de-duplication map.
#
# Why this file exists. The near-neighbour collision is the most expensive failure in
# step 4: a scene gets built, then thrown away because it belongs to a trait somebody
# already wrote. It cannot be computed from the axes — hard-line (kidney/bitter/fried)
# and firm (navy/sour/dried) share no bean, no flavour and no form, and mystical sits
# next to otherworldly across a single shared form.
#
# GENERATED — do not hand-edit. The judgement lives in trait-families.tsv, which sorts
# all 360 traits into senses a reader could confuse; this file expands that map, so your
# neighbours are the other members of every family you are in. To change an adjacency,
# move the trait between families and re-run:
#
#   node scripts/build-trait-neighbours.mjs
#
# How to use it. At step 1, look your five up here and READ the entries listed, then
# write the separation prose into the batch file — what each neighbour owns, and what is
# left for yours. This file names the pairs; it does not do the thinking, and it is not a
# substitute for reading beans/, flavours/ and forms/.
#
# Marks:
#   trait(slug)    approved — its scenes are SPENT, go and read them
#   ~trait(slug)   not yet approved — no settled scenes to avoid, but the axes must part
#
# A trait in two families carries both families' members as neighbours; the families
# column names which. 46 families over 360 traits, 18 traits straddling two.
#
# slug	trait	excess	inverse	families	neighbours
bitter-boiled-adzuki	ceremonious	pompous	offhand	remorse-gratitude	~admiring(sour-smoked-cannellini) ~contrite(bitter-fermented-cannellini) ~grateful(sour-roasted-adzuki) ~reverential(umami-dried-adzuki)
bitter-boiled-black	measured	plodding	hasty	watches	careful(bitter-boiled-mung) deliberate(umami-fermented-navy) ~attentive(umami-roasted-edamame) ~circumspect(bitter-dried-chickpea) ~judicious(bitter-boiled-cannellini) ~prudent(bitter-roasted-navy) ~temperate(bitter-roasted-mung) ~vigilant(bitter-fermented-kidney) ~watchful(bitter-smoked-navy)
bitter-boiled-butter	placid	impassive	agitated	calm	composed(sour-fried-butter) quiet(sour-smoked-butter) restful(umami-boiled-butter) serene(sweet-dried-butter) ~languid(umami-smoked-butter) ~mellow(umami-dried-butter) ~patient(umami-boiled-black) ~settled(umami-fried-butter) ~still(bitter-smoked-butter) ~tranquil(bitter-dried-butter)
bitter-boiled-cannellini	judicious	overcautious	rash	watches	careful(bitter-boiled-mung) deliberate(umami-fermented-navy) measured(bitter-boiled-black) ~attentive(umami-roasted-edamame) ~circumspect(bitter-dried-chickpea) ~prudent(bitter-roasted-navy) ~temperate(bitter-roasted-mung) ~vigilant(bitter-fermented-kidney) ~watchful(bitter-smoked-navy)
bitter-boiled-chickpea	conciliatory	appeasing	combative	smoothing	disarming(sweet-smoked-edamame) forgiving(sweet-boiled-butter) tolerant(umami-roasted-chickpea) ~diplomatic(sweet-fermented-cannellini) ~fair(sour-roasted-kidney) ~fair-minded(sour-boiled-chickpea) ~impartial(sour-boiled-mung) ~open-minded(sour-roasted-chickpea) ~receptive(umami-roasted-butter)
bitter-boiled-edamame	analytical	overanalytical	impressionistic	examines	rational(bitter-fermented-edamame) ~diagnostic(sour-fermented-mung) ~forensic(bitter-fried-black) ~interpretive(bitter-fermented-chickpea) ~logical(sour-boiled-edamame) ~methodical(sour-boiled-black) ~sceptical(sour-fermented-edamame)
bitter-boiled-fava	dauntless	foolhardy	fainthearted	risk	daring(sweet-fried-fava) game(spicy-fried-butter) headlong(spicy-fried-fava) headstrong(spicy-fried-green) ~audacious(spicy-dried-fava) ~brisk(bitter-roasted-green) ~footloose(spicy-smoked-green) ~impatient(bitter-fried-green) ~impulsive(sour-fried-green) ~spontaneous(spicy-fried-chickpea) ~swift(sour-fried-fava)
bitter-boiled-green	inquisitive	prying	incurious	curiosity	~curious(umami-roasted-green) ~keen(umami-fried-edamame) ~questioning(bitter-fermented-fava) ~speculative(bitter-fermented-green)
bitter-boiled-kidney	forbearing	martyred	intolerant	endurance	gritty(spicy-boiled-black) stoic(spicy-boiled-butter) tough(spicy-dried-navy) ~dogged(spicy-boiled-kidney) ~hardy(bitter-dried-kidney) ~indomitable(sweet-dried-fava) ~relentless(spicy-fried-black) ~steely(bitter-dried-fava) ~tested(sour-fermented-kidney) ~tireless(spicy-boiled-mung)
bitter-boiled-mung	careful	fretful	careless	watches	deliberate(umami-fermented-navy) measured(bitter-boiled-black) ~attentive(umami-roasted-edamame) ~circumspect(bitter-dried-chickpea) ~judicious(bitter-boiled-cannellini) ~prudent(bitter-roasted-navy) ~temperate(bitter-roasted-mung) ~vigilant(bitter-fermented-kidney) ~watchful(bitter-smoked-navy)
bitter-boiled-navy	upright	sanctimonious	crooked	duty	dutiful(sweet-dried-navy) ~conscientious(umami-boiled-cannellini) ~custodial(umami-boiled-navy) ~dependable(sweet-boiled-edamame) ~disciplined(umami-boiled-kidney) ~principled(umami-fried-cannellini) ~provident(sweet-boiled-navy) ~scrupulous(sour-fermented-navy) ~trustworthy(sour-boiled-kidney)
bitter-boiled-pinto	contemplative	abstracted	unreflective	inward-thought	self-aware(sour-fermented-adzuki) ~introspective(umami-fermented-black) ~inward(umami-fermented-pinto) ~musing(umami-boiled-pinto) ~pensive(sweet-fermented-black) ~philosophical(bitter-fermented-butter) ~reflective(umami-fermented-butter) ~ruminative(bitter-fermented-black) ~speculative(bitter-fermented-green)
bitter-dried-adzuki	selective	exclusionary	indiscriminate	pared	ascetic(bitter-dried-cannellini) ~austere(bitter-fried-mung) ~clinical(bitter-dried-mung) ~honed(bitter-dried-green) ~plain(sour-dried-butter) ~temperate(bitter-roasted-mung)
bitter-dried-black	laconic	monosyllabic	garrulous	withholding	quiet(sour-smoked-butter) terse(bitter-dried-edamame) ~clipped(sour-fried-black) ~cryptic(bitter-dried-pinto) ~hermetic(bitter-smoked-cannellini) ~inscrutable(bitter-smoked-black) ~plain(sour-dried-butter) ~reticent(bitter-smoked-edamame) ~understated(sour-fermented-butter)
bitter-dried-butter	tranquil	sedate	rattled	calm	composed(sour-fried-butter) placid(bitter-boiled-butter) quiet(sour-smoked-butter) restful(umami-boiled-butter) serene(sweet-dried-butter) ~languid(umami-smoked-butter) ~mellow(umami-dried-butter) ~patient(umami-boiled-black) ~settled(umami-fried-butter) ~still(bitter-smoked-butter)
bitter-dried-cannellini	ascetic	self-denying	hedonistic	pared	~austere(bitter-fried-mung) ~clinical(bitter-dried-mung) ~honed(bitter-dried-green) ~plain(sour-dried-butter) ~selective(bitter-dried-adzuki) ~temperate(bitter-roasted-mung)
bitter-dried-chickpea	circumspect	wary	heedless	watches	careful(bitter-boiled-mung) deliberate(umami-fermented-navy) measured(bitter-boiled-black) ~attentive(umami-roasted-edamame) ~judicious(bitter-boiled-cannellini) ~prudent(bitter-roasted-navy) ~temperate(bitter-roasted-mung) ~vigilant(bitter-fermented-kidney) ~watchful(bitter-smoked-navy)
bitter-dried-edamame	terse	brusque	verbose	withholding	quiet(sour-smoked-butter) ~clipped(sour-fried-black) ~cryptic(bitter-dried-pinto) ~hermetic(bitter-smoked-cannellini) ~inscrutable(bitter-smoked-black) ~laconic(bitter-dried-black) ~plain(sour-dried-butter) ~reticent(bitter-smoked-edamame) ~understated(sour-fermented-butter)
