slug	slot	setting	scenario	cast	pitch
bitter-boiled-butter	most	sea	crisis-response	colleague	grounded
bitter-boiled-butter	high	sports club	crisis-response	stranger	grounded
bitter-boiled-butter	mid	school	work-redone	alone	grounded
bitter-boiled-butter	low	car park	composure-lost	alone	grounded
bitter-boiled-butter	least	house	crisis-response	stranger	grounded
bitter-boiled-edamame	most	kitchen	analysis-applied	friend	grounded
bitter-boiled-edamame	high	house	analysis-applied	group	grounded
bitter-boiled-edamame	mid	shop	analysis-applied	group	grounded
bitter-boiled-edamame	low	cafe	analysis-refused	friend	grounded
bitter-boiled-edamame	least	gallery	analysis-refused	friend	grounded
bitter-boiled-green	most	party	prying-question	stranger	grounded
bitter-boiled-green	high	workplace	prying-question	colleague	grounded
bitter-boiled-green	mid	hospital	prying-question	friend	grounded
bitter-boiled-green	low	pub	question-dropped	friend	grounded
bitter-boiled-green	least	street	question-dropped	neighbour	grounded
bitter-dried-cannellini	most	house	possession-discarded	alone	grounded
bitter-dried-cannellini	high	house	upgrade-declined	official	grounded
bitter-dried-cannellini	mid	shop	upgrade-declined	stranger	grounded
bitter-dried-cannellini	low	cafe	indulgence-taken	alone	grounded
bitter-dried-cannellini	least	hotel	indulgence-taken	alone	grounded
bitter-dried-edamame	most	taxi	conversation-minimised	stranger	grounded
bitter-dried-edamame	high	airport	conversation-minimised	official	grounded
bitter-dried-edamame	mid	party	conversation-minimised	group	grounded
bitter-dried-edamame	low	street	over-explaining	stranger	grounded
bitter-dried-edamame	least	uncanny	over-explaining	stranger	fantastical
bitter-fermented-edamame	most	phone	superstition-dismissed	alone	grounded
bitter-fermented-edamame	high	house	superstition-dismissed	family	grounded
bitter-fermented-edamame	mid	escape room	analysis-applied	group	grounded
bitter-fermented-edamame	low	house	chance-deferred	alone	grounded
bitter-fermented-edamame	least	house	hunch-followed	alone	grounded
bitter-fermented-mung	most	phone	hunch-followed	alone	grounded
bitter-fermented-mung	high	phone	hunch-followed	friend	grounded
bitter-fermented-mung	mid	house	hunch-voiced	friend	grounded
bitter-fermented-mung	low	party	signal-missed	friend	grounded
bitter-fermented-mung	least	street	signal-missed	friend	grounded
bitter-fermented-pinto	most	house	work-redone	alone	grounded
bitter-fermented-pinto	high	house	gift-made	friend	grounded
bitter-fermented-pinto	mid	doorstep	flourish-added	friend	grounded
bitter-fermented-pinto	low	kitchen	opinion-flat	friend	grounded
bitter-fermented-pinto	least	gallery	culture-skimmed	group	grounded
bitter-fried-chickpea	most	party	advantage-worked	stranger	grounded
bitter-fried-chickpea	high	restaurant	motive-named	stranger	grounded
bitter-fried-chickpea	mid	phone	favour-vetted	friend	grounded
bitter-fried-chickpea	low	doorstep	flattery-believed	neighbour	grounded
bitter-fried-chickpea	least	car park	scam-attempt	stranger	grounded
bitter-roasted-edamame	most	wedding	joke-made	group	grounded
bitter-roasted-edamame	high	party	joke-made	group	grounded
bitter-roasted-edamame	mid	museum	joke-made	friend	grounded
bitter-roasted-edamame	low	street	sincerity-accepted	stranger	grounded
bitter-roasted-edamame	least	party	answer-plain	stranger	grounded
bitter-smoked-green	most	party	uncanny-knowledge	stranger	fantastical
bitter-smoked-green	high	house	premonition-followed	alone	fantastical
bitter-smoked-green	mid	house	memory-defended	family	grounded
bitter-smoked-green	low	house	mystery-dismissed	neighbour	grounded
bitter-smoked-green	least	house	mystery-dismissed	alone	grounded
bitter-smoked-kidney	most	stage	truth-unwelcome	group	grounded
bitter-smoked-kidney	high	street	darkness-included	group	grounded
bitter-smoked-kidney	mid	campsite	darkness-included	group	grounded
bitter-smoked-kidney	low	house	attention-lost	group	grounded
bitter-smoked-kidney	least	hills	answer-plain	group	grounded
bitter-smoked-pinto	most	party	over-explaining	stranger	grounded
bitter-smoked-pinto	high	phone	curation-effort	friend	grounded
bitter-smoked-pinto	mid	pub	over-explaining	friend	grounded
bitter-smoked-pinto	low	party	effort-minimised	group	grounded
bitter-smoked-pinto	least	hospital	effort-minimised	alone	grounded
sour-dried-fava	most	house	criticism-given	family	grounded
sour-dried-fava	high	pub	criticism-given	friend	grounded
sour-dried-fava	mid	cafe	criticism-given	stranger	grounded
sour-dried-fava	low	house	lie-kind	family	grounded
sour-dried-fava	least	street	lie-kind	child	grounded
sour-dried-kidney	most	house	retaliation-delivered	neighbour	grounded
sour-dried-kidney	high	forest	public-confrontation	stranger	grounded
sour-dried-kidney	mid	library	public-confrontation	stranger	grounded
sour-dried-kidney	low	sports club	restraint-shown	friend	grounded
sour-dried-kidney	least	station	grievance-dropped	official	grounded
sour-fermented-adzuki	most	phone	self-monitoring	friend	grounded
sour-fermented-adzuki	high	house	self-restraint	partner	grounded
sour-fermented-adzuki	mid	kitchen	self-diagnosis	alone	grounded
sour-fermented-adzuki	low	house	absorption-total	alone	grounded
sour-fermented-adzuki	least	house	signal-missed	group	grounded
sour-fermented-cannellini	most	house	standard-upheld	family	grounded
sour-fermented-cannellini	high	house	standard-upheld	alone	grounded
sour-fermented-cannellini	mid	pub	standard-upheld	alone	grounded
sour-fermented-cannellini	low	shop	standard-dropped	alone	grounded
sour-fermented-cannellini	least	plane	standard-dropped	alone	grounded
sour-fried-butter	most	doctors	badnews-received	official	grounded
sour-fried-butter	high	school	crisis-response	group	grounded
sour-fried-butter	mid	living room	crisis-response	group	grounded
sour-fried-butter	low	house	nothing-startles	partner	grounded
sour-fried-butter	least	party	nothing-startles	group	grounded
sour-fried-cannellini	most	kitchen	work-redone	alone	grounded
sour-fried-cannellini	high	car	work-redone	alone	grounded
sour-fried-cannellini	mid	bedroom	order-imposed	alone	grounded
sour-fried-cannellini	low	house	goodenough-accepted	alone	grounded
sour-fried-cannellini	least	kitchen	mess-left	alone	grounded
sour-fried-mung	most	pub	credit-deflected	colleague	grounded
sour-fried-mung	high	gallery	credit-deflected	stranger	grounded
sour-fried-mung	mid	hospital	credit-deflected	official	grounded
sour-fried-mung	low	pub	credit-claimed	friend	grounded
sour-fried-mung	least	workplace	credit-claimed	official	grounded
sour-roasted-butter	most	doorstep	scam-attempt	stranger	grounded
sour-roasted-butter	high	party	answer-plain	stranger	grounded
sour-roasted-butter	mid	kitchen	subtext-missed	housemate	grounded
sour-roasted-butter	low	house	motive-suspected	neighbour	grounded
sour-roasted-butter	least	house	deception-played	group	grounded
sour-smoked-butter	most	farm	correction-withheld	stranger	grounded
sour-smoked-butter	high	care home	silence-shared	family	grounded
sour-smoked-butter	mid	house	quiet-sought	family	grounded
sour-smoked-butter	low	sports club	conflict-entered	family	grounded
sour-smoked-butter	least	house	silence-filled	group	grounded
sour-smoked-pinto	most	shop	indirect-message	family	grounded
sour-smoked-pinto	high	laundrette	indirect-criticism	friend	grounded
sour-smoked-pinto	mid	charity shop	indirect-answer	colleague	grounded
sour-smoked-pinto	low	sports club	direct-instruction	friend	grounded
sour-smoked-pinto	least	evening class	direct-criticism	group	grounded
spicy-boiled-navy	most	phone	grievance-pursued	official	grounded
spicy-boiled-navy	high	cinema	boundary-held	stranger	grounded
spicy-boiled-navy	mid	party	boundary-held	family	grounded
spicy-boiled-navy	low	car	boundary-yielded	friend	grounded
spicy-boiled-navy	least	doorstep	pressure-yielded	stranger	grounded
spicy-dried-navy	most	kitchen	question-deflected	friend	grounded
spicy-dried-navy	high	kitchen	truth-unwelcome	family	grounded
spicy-dried-navy	mid	dentist	pain-endured	official	grounded
spicy-dried-navy	low	footpath	threat-avoided	stranger	grounded
spicy-dried-navy	least	house	nothing-startles	alone	grounded
spicy-fermented-black	most	house	question-deflected	friend	grounded
spicy-fermented-black	high	house	secret-kept	friend	grounded
spicy-fermented-black	mid	house	question-deflected	family	grounded
spicy-fermented-black	low	house	disclosure-volunteered	stranger	grounded
spicy-fermented-black	least	workplace	answer-plain	official	grounded
spicy-fermented-chickpea	most	solicitors	plan-elaborate	official	grounded
spicy-fermented-chickpea	high	boat	distinctive-choice	official	grounded
spicy-fermented-chickpea	mid	shop	distinctive-choice	alone	grounded
spicy-fermented-chickpea	low	party	conformity-declined	friend	grounded
spicy-fermented-chickpea	least	pub	routine-maintained	group	grounded
spicy-fermented-kidney	most	house	project-continued	alone	grounded
spicy-fermented-kidney	high	house	enthusiasm-poured	friend	grounded
spicy-fermented-kidney	mid	sports club	absorption-total	group	grounded
spicy-fermented-kidney	low	kitchen	shortcut-taken	friend	grounded
spicy-fermented-kidney	least	sports club	indifference-shown	alone	grounded
spicy-fermented-navy	most	expedition	commitment-kept	friend	grounded
spicy-fermented-navy	high	house	commitment-kept	official	grounded
spicy-fermented-navy	mid	train	routine-maintained	alone	grounded
spicy-fermented-navy	low	house	attention-scattered	alone	grounded
spicy-fermented-navy	least	house	routine-broken	alone	grounded
spicy-fried-adzuki	most	house	rest-refused	alone	grounded
spicy-fried-adzuki	high	building site	mood-lifted	colleague	grounded
spicy-fried-adzuki	mid	street	mood-carried	alone	grounded
